auth	sso_domains
auth	saml_providers
auth	sso_providers
public	universal_transactions
auth	instances
auth	schema_migrations
storage	buckets
auth	mfa_factors
storage	objects
auth	refresh_tokens
vault	secrets
auth	users
auth	audit_log_entries
auth	saml_relay_states
auth	mfa_amr_claims
auth	flow_state
auth	identities
auth	one_time_tokens
auth	mfa_challenges
auth	oauth_clients
auth	sessions
auth	oauth_authorizations
auth	oauth_consents
storage	s3_multipart_uploads
storage	migrations
storage	s3_multipart_uploads_parts
storage	prefixes
storage	buckets_analytics
realtime	schema_migrations
public	core_entities
public	core_relationships
public	core_organizations
realtime	subscription
public	core_dynamic_data
realtime	messages
public	universal_transaction_lines
